system:index,accuracy,anio,area_ha_Agua,area_ha_Mineria_arcilla_ladrillera,area_ha_Suelo_desnudo_no_minero,area_ha_Urbano_construido,area_ha_Vegetacion_agro_natural,kappa,muestras_entrenamiento_balanceadas,puntos_validacion_usados,.geo
0,0.6235955056179775,1990,115.28899210552142,432.8272133399886,6569.535001494279,1974.5233644838186,4283.593108020508,0.5193648490710514,716,178,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.7098445595854922,1995,460.6408002002441,507.32689575209344,9417.616095112295,1221.8278145140598,9881.49970339573,0.6288334077406504,720,193,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.6918918918918919,2000,104.0445433220598,450.21155039823054,7165.377683150365,1126.1482463868451,5788.743756460275,0.6034819884184403,716,185,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.7909604519774012,2010,137.35035392702582,573.7026604348588,10140.40697099668,747.1570508664346,9390.184258732283,0.7255123852634227,719,177,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.8186528497409327,2015,143.8264686625402,640.3682719001328,9950.797374105929,889.663409113857,9204.177681601057,0.7640998777719574,716,193,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.844559585492228,2020,154.42188623791253,518.6215380673378,9741.39794115491,1005.2776565554757,9838.894642912208,0.7979833222846376,720,193,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.8393782383419689,2024,139.3908796876915,301.4958082461145,10184.246706963251,1181.8217439332386,9681.95617453243,0.7900554424871921,720,193,"{""type"":""MultiPoint"",""coordinates"":[]}"
