anio,accuracy,kappa,vegetacion_ha,urbano_ha,mineria_ha,suelo_desnudo_ha,agua_ha
1990,0.6235955056179775,0.5193648490710514,4283.593108020508,1974.5233644838186,432.8272133399886,6569.535001494279,115.28899210552142
1995,0.7098445595854922,0.6288334077406504,9881.49970339573,1221.8278145140598,507.32689575209344,9417.616095112295,460.6408002002441
2000,0.6918918918918919,0.6034819884184403,5788.743756460275,1126.1482463868451,450.21155039823054,7165.377683150365,104.0445433220598
2010,0.7909604519774012,0.7255123852634227,9390.184258732283,747.1570508664346,573.7026604348588,10140.40697099668,137.35035392702582
2015,0.8186528497409327,0.7640998777719574,9204.177681601057,889.663409113857,640.3682719001328,9950.797374105929,143.8264686625402
2020,0.844559585492228,0.7979833222846376,9838.894642912208,1005.2776565554757,518.6215380673378,9741.39794115491,154.42188623791253
2024,0.8393782383419689,0.7900554424871921,9681.95617453243,1181.8217439332386,301.4958082461145,10184.246706963251,139.3908796876915
